id	verdict	wall_s	banked_unsat_was_certified
instance_0	unsat	27.3	True
instance_1	unsat	18.7	True
instance_2	unsat	41.4	True
instance_3	unsat	17.3	True
instance_4	timeout	95.6	True
instance_6	timeout	94.9	True
instance_7	unsat	17.1	True
instance_8	unsat	24.5	True
instance_9	unsat	31.0	True
instance_12	unsat	35.6	True
instance_13	unsat	24.6	True
instance_15	timeout	105.1	True
instance_16	timeout	105.0	True
instance_17	unsat	51.2	True
instance_18	timeout	105.1	True
instance_19	timeout	105.0	True
instance_23	unsat	29.9	True
instance_24	unsat	45.1	True
instance_25	timeout	105.0	True
instance_27	unsat	39.4	True
instance_29	unsat	17.8	True
instance_30	unsat	52.8	True
instance_31	unsat	37.2	True
instance_32	unsat	17.1	True
instance_34	timeout	105.0	True
instance_35	unsat	36.4	True
instance_38	timeout	105.1	True
instance_40	unsat	29.4	True
instance_41	unsat	54.9	True
instance_42	timeout	105.0	True
instance_43	timeout	105.1	True
instance_44	unsat	53.1	True
instance_45	unsat	19.0	True
instance_46	unsat	27.8	True
instance_47	unsat	37.8	True
instance_49	timeout	94.6	True
DONE
